nodes	trait1
root	67.7925|70.2073
internal_node_4	59.2642|60.3805
n19795	51.2375|52.4428
200940+57723+533205	44.3339|45.7675
1239+186801+91061+1385+3039167+68295+186814+3039168+539003	50.1361|51.4634
internal_node_13	43.7601|45.1372
internal_node_18	42.8166|43.7668
n19801	37.8198|38.8859
n19802	35.879|36.8726
n19803	32.4406|33.8109
internal_node_24	23.5644|25.1612
135618+1486721	28.7756|30.1944
1775403	28.6492|29.8851
135613+1046	26.6829|27.9109
72276	26.3258|27.6754
internal_node_33	27.9334|28.9485
n19812	29.9915|31.3231
internal_node_39	30.3839|31.2229
118969+72273+135617	28.5496|29.4837
internal_node_43	25.649|26.9544
135616	24.862|25.8339
255527	26.6846|27.6051
n19818	27.8037|28.9606
135622+28256+72275	25.555|26.4563
135620	25.4572|26.575
n19821	28.2345|29.6413
n19823	24.9298|26.4089
267888	26.1792|27.2077
n19825	24.5048|25.4717
135624+84642	28.2297|29.6057
n19827	29.8815|30.9887
n19828	31.9229|32.9649
91347+543	32.9107|34.0408
internal_node_60	30.8758|31.6555
1903409+1903410+1903412	29.1957|30.0491
n19833	26.9641|27.8731
n19834	27.4145|27.9698
n19835	27.6677|28.2691
internal_node_73	30.8794|31.5538
internal_node_84	31.2746|31.9001
n19840	29.8973|30.6069
n19841	32.1466|32.9732
n19842	34.4074|35.0918
n19843	34.1162|35.0717
internal_node_92	33.7026|34.4317
n19845	36.5262|37.2146
n19847	36.1981|37.0908
internal_node_137	35.9981|36.2995
n19864	36.7981|37.2019
n19865	36.8901|37.1099
n19866	36.8539|37.1461
n19867	36.8444|37.1556
n19870	35.3671|35.8289
n19878	31.5246|32.368
n19880	36.7852|37.2148
n19884	36.8813|37.1187
n19902	36.5693|37.4307
n19904	34.6163|35.5074
internal_node_238	33.6353|34.2875
n19908	31.8796|32.4667
n19909	36.6844|37.3156
n19911	36.9435|37.0565
n19913	35.1532|35.3595
internal_node_283	28.3762|29.3559
n19921	28.5128|29.5788
n19928	29.3664|29.8573
n19930	34.8774|35.6547
n19952	28.8687|29.6626
n19960	29.566|30.434
n19972	28.4013|29.2097
n19984	32.2915|33.1164
n19985	33.0367|33.5983
n19986	33.1956|33.8519
internal_node_473	32.9144|33.3771
n20031	29.029|30.0362
n20047	29.4741|30.5259
n20066	26.9272|27.0728
internal_node_621	26.3327|27.003
n20071	26.9864|27.5614
n20072	27.3077|28.3706
n20074	27.7662|28.2188
n20089	25.7569|26.2431
internal_node_683	25.6483|26.4719
n20098	25.6666|26.6554
n20106	25.8159|26.5244
n20109	25.5216|26.4784
n20121	26.5615|27.2513
n20122	27.3859|28.0843
