physiology	rank	method	attribute	mean	sd
spore shape	all	castor-ltp	coccus	0	0
spore shape	all	castor-ltp	elliptic	0	0
spore shape	all	castor-ltp	endospore	0	0
spore shape	genus	castor-ltp	coccus	0	0
spore shape	genus	castor-ltp	elliptic	0	0
spore shape	genus	castor-ltp	endospore	0	0
