Attribute	inLTP	notInLTP	totalDat	inDat	notInDat	totalLTP
COGEM pathogenicity rating 1	164	325	489	164	22867	23031
COGEM pathogenicity rating 2	267	247	514	267	22764	23031
COGEM pathogenicity rating 3	19	14	33	19	23012	23031
