Attribute	inLTP	notInLTP	totalDat	inDat	notInDat	totalLTP
alpha	20	15	35	20	23011	23031
beta	16	20	36	16	23015	23031
CAMP test	0	3	3	0	23031	23031
gamma	65	52	117	65	22966	23031
