Attribute	inLTP	notInLTP	totalDat	inDat	notInDat	totalLTP
alpha	94	18	112	94	22937	23031
beta	131	64	195	131	22900	23031
CAMP test	2	3	5	2	23029	23031
gamma	266	79	345	266	22765	23031
