nodes	trait1
n21131	30.3831|32.1545
internal_node_3071	29.5677|30.5927
n21136	27.6851|28.5779
n21137	25.4125|26.6598
n21140	28.3435|29.6619
n21147	27.5492|28.6471
n21168	27.7817|28.4646
n21169	27.9757|28.7861
n21171	28.2239|28.83
n21200	29.1339|30.3647
n21205	32.5911|33.4947
n21245	22.2802|23.9931
n21306	22.3241|23.9507
internal_node_3450	21.8191|22.8517
n21309	19.741|20.9427
n21350	23.2989|24.5235
n21362	22.2079|23.5256
n21363	27.4438|28.5562
n21366	18.7093|19.7954
n21370	12.4711|13.603
n21397	24.7638|26.2575
n21440	25.4459|26.5103
n21441	27.4924|28.6473
n21442	28.5178|29.8218
internal_node_3784	28.9931|30.1469
internal_node_3790	32.5562|33.2998
n21449	29.9652|30.9117
n21451	28.2716|29.0524
n21454	28.4855|29.2579
n21457	25.7306|26.4103
n21458	22.9551|23.7568
n21460	26.0929|26.8876
n21462	26.3692|27.1463
n21472	28.7035|29.0786
n21474	25.2782|25.8535
n21484	25.999|26.1828
n21527	25.9569|26.073
n21528	25.8453|26.4175
n21560	18.9814|19.2586
n21565	29.3121|29.9351
n21567	25.6721|26.2431
n21632	28.2916|28.9165
n21635	27.9788|28.1522
n21637	29.0161|29.5482
n21638	26.8954|27.4814
n21652	29.3239|29.7056
n21682	33.3761|34.2878
n21705	35.1613|36.0376
n21710	32.753|33.6445
n21711	34.1895|35.0927
n21712	31.8409|32.973
n21763	36.4684|37.5316
224379+2898533	28.3616|29.6597
n21806	29.518|30.7131
n21807	33.0578|34.3782
n21812	35.7089|36.7261
n21815	34.0163|34.9408
n21817	35.506|36.1755
n21821	33.4611|34.0625
n21823	27.6642|28.3358
n21875	25.0739|26.5208
internal_node_4683	23.1246|24.1434
n21900	24.8318|25.9782
1706375	22.5257|23.6018
internal_node_4754	20.3202|21.4945
n21904	27.1937|28.8063
n21924	13.7765|15.248
n21950	24.4603|25.7199
internal_node_4894	27.3973|28.6027
n21972	22.7666|24.2182
n21977	27.5082|28.4918
internal_node_5001	29.8337|30.9366
n21987	28.3177|29.3667
internal_node_5071	22.2512|23.3458
internal_node_5075	27.4822|28.5178
n22031	16.247|17.1628
n22034	25.6036|26.3118
n22039	31.4052|33.0394
n22042	33.26|35.0559
n22045	32.9031|34.1347
n22046	31.57|32.5828
n22114	34.6483|35.2811
n22115	36.6545|37.3455
n22141	29.7409|30.2591
n22144	24.4179|25.7501
n22145	24.8588|26.2693
n22148	24.7296|26.2779
n22152	16.1361|17.323
n22153	16.71|17.8032
n22154	9.1777|10.5392
n22159	-0.4191|0.4191
internal_node_5421	19.0633|20.163
n22185	14.8456|15.5873
n22202	24.7684|26.443
n22205	31.1138|32.528
n22208	21.8175|22.873
internal_node_5544	27.5891|28.718
n22217	29.4584|30.5416
n22233	21.7584|23.4659
n22241	23.6547|25.3063
internal_node_5649	23.2985|24.4374
n22244	24.4555|25.5445
n22251	22.1489|23.5384
internal_node_5669	24.9723|25.0277
internal_node_5676	20.2387|20.425
n22259	20.2078|21.7112
