nodes	trait1
root	75.5492812214469
internal_node_4	59.5237163665471
n19795	50.6081935433147
200940+57723+533205	42.6862918807202
1239+186801+91061+1385+3039167+68295+186814+3039168+539003	48.610040639295
internal_node_13	41.6969205473818
internal_node_18	43.8052894121959
n19801	38.3902045036616
n19802	37.0522671933247
n19803	35.6253847266968
internal_node_24	28.7358647968881
1775403	29.3620037979698
135613+1046	27.0072884782897
72276	26.5874554882326
internal_node_33	27.9512370099684
n19812	30.5459509991056
internal_node_39	30.6671095472581
118969+72273+135617	28.8109625859692
internal_node_43	26.0849486861902
135616	25.1415950559653
255527	26.7849146282356
n19818	28.1017023527614
135622+28256+72275	25.7497327419018
135620	25.5510976455956
n19821	28.0759442813478
n19823	24.0518200073588
267888	26.1622963753843
n19825	24.7808392320496
135624+84642	28.8311132057976
n19827	30.3260546870252
n19828	32.3544370732014
91347+543	33.2903651181718
internal_node_60	30.9513774536121
1903409+1903410+1903412	29.0659636223198
n19833	27.4135822966894
n19834	27.7584699577631
n19835	28.0549171326278
internal_node_73	31.7579597836809
internal_node_84	32.1065781936556
n19840	30.3400846749664
n19841	32.7776529536823
n19842	35.3597027034488
n19843	36.9094058971627
internal_node_92	36.8824224171524
n19845	36.797986174415
internal_node_137	36.1291657145008
n19864	37
n19865	37
n19867	37
n19870	35.5979827089337
n19880	37
n19884	37
n19902	37
internal_node_238	32.0926375130462
n19907	33.9120162447475
n19908	32.1005546328876
n19909	37
internal_node_283	28.8411942726325
n19921	29.0086690620658
n19928	29.5359779363023
n19930	34.7676854995782
n19931	29.1413919413919
n19952	29.0958097554472
n19972	28.8055490242182
n19984	33.5606939252309
n19985	34.4559422430807
internal_node_473	33.1457286432161
n20031	29.5325658891245
n20066	27
internal_node_621	26.6701715756834
n20071	27.2786317137113
n20072	27.8460282916213
n20089	26
internal_node_683	26.0601159032427
n20098	26.1610091154964
n20106	26.1701867156413
n20109	26
n20121	26.7656885600056
n20122	27.7351475982653
internal_node_745	29.0567125662773
n20132	29.9108427269176
n20137	28.9656638215388
n20139	29.686427282561
n20140	29.1744042591246
n20141	29.917652838114
n20142	29.7910616127521
n20144	29.7062526083006
n20145	30.1378890949817
n20148	31.2798742138365
n20169	28.767274737424
