"rank"	"attribute_group"	"attribute"	"attribute_auc"	"attribute_group_auc"
"COGEM_pathogenicity_rating_all"	"COGEM_pathogenicity_rating"	"COGEM_pathogenicity_rating_1"	0.5	0.5
"COGEM_pathogenicity_rating_all"	"COGEM_pathogenicity_rating"	"COGEM_pathogenicity_rating_2"	0.5	0.5
"COGEM_pathogenicity_rating_all"	"COGEM_pathogenicity_rating"	"COGEM_pathogenicity_rating_3"	0.5	0.5
"COGEM_pathogenicity_rating_sp"	"COGEM_pathogenicity_rating"	"COGEM_pathogenicity_rating_1"	0.5	0.5
"COGEM_pathogenicity_rating_sp"	"COGEM_pathogenicity_rating"	"COGEM_pathogenicity_rating_2"	0.5	0.5
"COGEM_pathogenicity_rating_sp"	"COGEM_pathogenicity_rating"	"COGEM_pathogenicity_rating_3"	0.5	0.5
