nodes	trait1
root	75.8975662972862
internal_node_4	60.0646409751703
n19795	51.6679931488179
200940+57723+533205	43.4731599140665
1239+186801+91061+1385+3039167+68295+186814+3039168+539003	49.5988429156062
internal_node_13	43.327400815956
internal_node_18	43.60974968396
n19801	37.4842211317198
n19802	36.0153818062703
n19803	32.4285032602573
internal_node_24	24.3884053558651
135618+1486721	29.5438734935496
1775403	29.3508288681396
135613+1046	27.4219258109334
72276	27.1772987681184
internal_node_33	28.1066326093203
n19812	30.3131366203157
internal_node_39	30.3840017754584
118969+72273+135617	29.0878263444271
internal_node_43	26.2736920226774
135616	25.2679280267261
255527	27.0347565082149
n19818	27.6328789706344
135622+28256+72275	25.3262831813608
135620	25.1826781319463
n19821	28.1498432261604
n19823	24.2125981109395
267888	26.2281925186968
n19825	24.888440717473
135624+84642	29.0136951845713
n19827	30.5605241783268
n19828	32.6959091377228
91347+543	33.8327646111507
internal_node_60	31.759998089794
1903409+1903410+1903412	29.093392832946
n19833	27.5162438315479
n19834	27.8425508333812
n19835	28.0668609163036
internal_node_73	31.7600018421166
internal_node_84	32.3756750607189
n19840	31.8098951769589
n19841	33.2142512690088
n19842	34.8733877037268
n19843	34.5747405940763
internal_node_92	34.0671527133857
n19845	36.87040253428
n19847	36.6444889830626
internal_node_137	36.148801076189
n19864	37
n19865	37
n19866	37
n19867	37
n19870	35.5979827089337
n19878	31.9462801334068
n19880	37
n19884	37
n19904	35.4562239815118
internal_node_238	34.6261606994507
n19907	34.0093026820074
n19908	32.2843924715886
n19909	37
n19911	37
n19912	37
n19913	35.2563176895307
internal_node_283	30.3224489539088
n19921	31.3071812754099
n19930	34.9698934691987
n19984	32.7039431254922
n19985	33.3175031692173
n19986	33.5237245808063
internal_node_473	33.1457286432161
n20031	29.5325658891245
n20047	30
n20066	27
internal_node_621	26.9945098780563
n20071	27.2738864785082
n20072	27.8391227205882
n20074	27.9924981245311
n20089	26
internal_node_683	26.6799840194762
n20098	28.5730469167468
n20109	26
n20121	26.906439399243
