Attribute	inLTP	notInLTP	totalDat	inDat	notInDat	totalLTP
biosafety level 1	1453	1512	2965	1453	21578	23031
biosafety level 2	265	338	603	265	22766	23031
biosafety level 3	2	2	4	2	23029	23031
