Attribute	inLTP	notInLTP	totalDat	inDat	notInDat	totalLTP
biosafety level 1	9076	2084	11160	9076	13955	23031
biosafety level 2	851	469	1320	851	22180	23031
biosafety level 3	12	3	15	12	23019	23031
