Attribute	inLTP	notInLTP	totalDat	inDat	notInDat	totalLTP
gram stain negative	695	818	1513	695	22336	23031
gram stain positive	298	504	802	298	22733	23031
gram stain variable	11	14	25	11	23020	23031
