Attribute	inLTP	notInLTP	totalDat	inDat	notInDat	totalLTP
aerobic	7152	1266	8418	7152	15879	23031
aerotolerant	4	1	5	4	23027	23031
anaerobic	1387	775	2162	1387	21644	23031
facultatively anaerobic	683	218	901	683	22348	23031
