Attribute	inLTP	notInLTP	totalDat	inDat	notInDat	totalLTP
gram stain negative	5515	1993	7508	5515	17516	23031
gram stain positive	3223	1243	4466	3223	19808	23031
gram stain variable	130	25	155	130	22901	23031
