Attribute	inLTP	notInLTP	totalDat	inDat	notInDat	totalLTP
branched	87	3	90	87	22944	23031
cell chain	108	1	109	108	22923	23031
cell cluster	70	3	73	70	22961	23031
paired cells	193	1	194	193	22838	23031
palisade	3	1	4	3	23028	23031
reverse Y-branched filaments	2	1	3	2	23029	23031
rosettes	9	0	9	9	23022	23031
single	221	7	228	221	22810	23031
tetrads	20	0	20	20	23011	23031
unbranched	11	0	11	11	23020	23031
v-formation	8	0	8	8	23023	23031
