Attribute	ltp_bp	bp	ltp_bp_phys	bp_phys	ltp	nsti_mean	nsti_sd
gram stain negative	5515	7508	8856	12116	23501	0.043	0.042
gram stain positive	3223	4466	8856	12116	23501	0.043	0.042
gram stain variable	130	155	8856	12116	23501	0.043	0.042
