physiology	rank	method	attribute	mean	sd
biosafety level	all	phytools-ltp	biosafety level 1	0.582963631264074	0.0350704361394438
biosafety level	all	phytools-ltp	biosafety level 2	0.510965106077939	0.0535818067869455
biosafety level	all	phytools-ltp	biosafety level 3	0.241350021356494	0.39672171869885
biosafety level	species	phytools-ltp	biosafety level 1	0.539152104093319	0.0429134211046588
biosafety level	species	phytools-ltp	biosafety level 2	0.501860022618407	0.0498043028519534
biosafety level	strain	phytools-ltp	biosafety level 1	0.522059325243209	0.0833713390366903
biosafety level	strain	phytools-ltp	biosafety level 2	0.496911365988534	0.102222111430424
