Attribute	ltp_bp	bp	ltp_bp_phys	bp_phys	ltp	nsti_mean	nsti_sd
bacillus	6	6	300	708	23501	0.364	0.204
branched	1	1	300	708	23501	0.364	0.204
cell chain	2	2	300	708	23501	0.364	0.204
coccus	26	26	300	708	23501	0.364	0.204
elliptic	34	34	300	708	23501	0.364	0.204
endospore	281	689	300	708	23501	0.364	0.204
sigmoid	1	1	300	708	23501	0.364	0.204
spirillum	1	1	300	708	23501	0.364	0.204
