Attribute	ltp_bp	bp	ltp_bp_phys	bp_phys	ltp	nsti_mean	nsti_sd
biosafety level 1	9076	11160	9928	12477	23501	0.049	0.05
biosafety level 2	851	1320	9928	12477	23501	0.049	0.05
biosafety level 3	12	15	9928	12477	23501	0.049	0.05
