Attribute	ltp_bp	bp	ltp_bp_phys	bp_phys	ltp	nsti_mean	nsti_sd
alpha	74	77	339	409	23501	0.283	0.19
beta	115	159	339	409	23501	0.283	0.19
gamma	201	228	339	409	23501	0.283	0.19
