Attribute	ltp_bp	bp	ltp_bp_phys	bp_phys	ltp	nsti_mean	nsti_sd
COGEM pathogenicity rating 1	164	489	450	1036	23501	0.184	0.129
COGEM pathogenicity rating 2	267	514	450	1036	23501	0.184	0.129
COGEM pathogenicity rating 3	19	33	450	1036	23501	0.184	0.129
