Attribute	ltp_bp	bp	ltp_bp_phys	bp_phys	ltp	nsti_mean	nsti_sd
aerobic	7152	8418	9078	11268	23501	0.054	0.06
aerotolerant	4	5	9078	11268	23501	0.054	0.06
anaerobic	1387	2162	9078	11268	23501	0.054	0.06
facultatively anaerobic	683	901	9078	11268	23501	0.054	0.06
