Attribute	ltp_bp	ltp_bp_phys	bp	ltp
COGEM pathogenicity rating 1	164	450	489	23031
COGEM pathogenicity rating 2	267	450	514	23031
COGEM pathogenicity rating 3	19	450	33	23031
