Attribute	ltp_bp	bp	ltp_bp_phys	bp_phys	ltp
cell chain	78	174	188	532	23501
cell cluster	17	22	188	532	23501
filamentous	24	67	188	532	23501
paired cells	97	322	188	532	23501
single	0	17	188	532	23501
tetrads	6	18	188	532	23501
