Attribute	ltp_bp	bp	ltp_bp_phys	bp_phys	ltp
biosafety level 1	7623	8195	8208	8907	23501
biosafety level 2	586	717	8208	8907	23501
biosafety level 3	10	11	8208	8907	23501
