Attribute	ltp_bp	bp	ltp_bp_phys	bp_phys	ltp	nsti_mean	nsti_sd
alpha	94	112	433	585	23501	0.273	0.19
beta	131	195	433	585	23501	0.273	0.19
gamma	266	345	433	585	23501	0.273	0.19
