Attribute	ltp_bp	bp	ltp_bp_phys	bp_phys	ltp	nsti_mean	nsti_sd
bacillus	296	821	405	1163	23501	0.163	0.082
coccus	82	259	405	1163	23501	0.163	0.082
filamentous	10	18	405	1163	23501	0.163	0.082
spirillum	17	65	405	1163	23501	0.163	0.082
