Attribute	ltp_bp	bp	ltp_bp_phys	bp_phys	ltp	nsti_mean	nsti_sd
aerobic	631	639	1169	1184	23501	0.088	0.06
anaerobic	392	398	1169	1184	23501	0.088	0.06
facultatively anaerobic	173	174	1169	1184	23501	0.088	0.06
