nodes	trait1
root	74.7661|77.1374
internal_node_4	57.5911|58.7068
n19795	49.6705|50.8743
200940+57723+533205	42.7293|44.0006
1239+186801+91061+1385+3039167+68295+186814+3039168+539003	48.765|50.0829
internal_node_13	42.5967|43.8702
internal_node_18	42.9041|43.8472
n19801	37.2165|38.2774
n19802	35.3404|36.3284
n19803	31.7525|33.1078
internal_node_24	23.5261|25.1313
135618+1486721	28.7166|30.1537
1775403	28.5308|29.8202
72276	26.1307|27.48
internal_node_33	27.6953|28.7085
n19812	29.7441|31.0754
internal_node_39	30.0837|30.9174
118969+72273+135617	28.1776|29.1131
internal_node_43	25.1994|26.5091
135616	24.434|25.3838
255527	25.967|26.8712
n19818	27.3679|28.5097
135622+28256+72275	25.0358|25.9397
135620	24.549|25.6747
n19821	27.2495|28.6539
n19823	22.939|24.3788
267888	25.4493|26.4727
n19825	23.9803|24.9507
135624+84642	28.0076|29.3853
n19827	29.6105|30.7394
n19828	31.8603|32.9021
91347+543	32.7825|33.912
internal_node_60	30.66|31.4369
1903409+1903410+1903412	28.8209|29.6598
n19833	27.3772|28.2919
n19834	27.4611|28.0395
n19835	27.6733|28.2758
internal_node_73	30.9219|31.5982
internal_node_84	31.3367|31.9688
n19840	29.9216|30.631
n19841	32.2257|33.0518
n19842	34.544|35.2238
n19843	34.1149|35.0704
internal_node_92	33.701|34.4301
n19845	36.5227|37.211
n19847	36.1881|37.0812
internal_node_137	35.9704|36.2787
n19865	36.8704|37.1296
n19866	36.8539|37.1461
n19870	35.3671|35.8289
n19878	31.5246|32.368
n19880	36.7852|37.2148
n19884	36.8813|37.1187
n19902	36.5693|37.4307
n19904	35.015|35.8975
internal_node_238	34.3288|34.9235
n19907	33.648|34.3706
n19908	31.9947|32.5741
n19909	36.69|37.31
n19911	36.9435|37.0565
n19912	36.8631|37.1369
n19913	35.1532|35.3595
internal_node_283	28.3513|29.3311
n19921	28.4758|29.5416
n19928	29.2933|29.7787
n19930	34.4048|35.1306
n19931	28.8176|29.4652
n19952	28.8687|29.6626
n19960	29.566|30.434
n19972	28.4013|29.2097
n19984	32.2931|33.4227
