physiology	rank	method	attribute	mean	sd
motility	all	phytools-ltp	motility	0.531999492167333	0.0294226588092023
motility	species	phytools-ltp	motility	0.518504673832459	0.0338860064953506
motility	strain	phytools-ltp	motility	0.430848658204166	0.0657033520930046
