physiology	rank	method	attribute	mean	sd
plant pathogenicity	all	phytools-ltp	plant pathogenity	0.523731989006955	0.253457435115985
plant pathogenicity	species	phytools-ltp	plant pathogenity	0.523731989006955	0.253457435115985
