physiology	rank	method	attribute	mean	sd
animal pathogen	all	phytools-ltp	animal pathogen	0.498174488104059	0.0663783665239965
animal pathogen	species	phytools-ltp	animal pathogen	0.518048010774665	0.067998953905343
