physiology	rank	method	attribute	mean_mcc	sd_mcc	ltp_and_bugphyzz	bugphyzz	ltp
animal pathogen	all	phytools-ltp	animal pathogen--FALSE	0.5	0.07	357	1017	23031
animal pathogen	all	phytools-ltp	animal pathogen--TRUE	0.5	0.07	643	1055	23031
