Attribute_group	Rank	Fold	Attribute	PosNeg	n
growth_temperature	all	Fold7	thermophile	FN	9
growth_temperature	all	Fold7	thermophile	TN	697
growth_temperature	all	Fold8	hyperthermophile	TP	23
growth_temperature	all	Fold8	hyperthermophile	FP	0
growth_temperature	all	Fold8	hyperthermophile	FN	1
growth_temperature	all	Fold8	hyperthermophile	TN	690
growth_temperature	all	Fold8	mesophile	TP	578
growth_temperature	all	Fold8	mesophile	FP	0
growth_temperature	all	Fold8	mesophile	FN	35
growth_temperature	all	Fold8	mesophile	TN	101
growth_temperature	all	Fold8	psychrophile	TP	32
growth_temperature	all	Fold8	psychrophile	FP	0
growth_temperature	all	Fold8	psychrophile	FN	28
growth_temperature	all	Fold8	psychrophile	TN	654
growth_temperature	all	Fold8	thermophile	TP	14
growth_temperature	all	Fold8	thermophile	FP	0
growth_temperature	all	Fold8	thermophile	FN	5
growth_temperature	all	Fold8	thermophile	TN	695
growth_temperature	all	Fold9	hyperthermophile	TP	21
growth_temperature	all	Fold9	hyperthermophile	FP	0
growth_temperature	all	Fold9	hyperthermophile	FN	4
growth_temperature	all	Fold9	hyperthermophile	TN	689
growth_temperature	all	Fold9	mesophile	TP	597
growth_temperature	all	Fold9	mesophile	FP	0
growth_temperature	all	Fold9	mesophile	FN	23
growth_temperature	all	Fold9	mesophile	TN	94
growth_temperature	all	Fold9	psychrophile	TP	32
growth_temperature	all	Fold9	psychrophile	FP	0
growth_temperature	all	Fold9	psychrophile	FN	19
growth_temperature	all	Fold9	psychrophile	TN	663
growth_temperature	all	Fold9	thermophile	TP	12
growth_temperature	all	Fold9	thermophile	FP	0
growth_temperature	all	Fold9	thermophile	FN	6
growth_temperature	all	Fold9	thermophile	TN	696
growth_temperature	species	Fold1	hyperthermophile	TP	11
growth_temperature	species	Fold1	hyperthermophile	FP	0
growth_temperature	species	Fold1	hyperthermophile	FN	0
growth_temperature	species	Fold1	hyperthermophile	TN	301
growth_temperature	species	Fold1	mesophile	TP	262
growth_temperature	species	Fold1	mesophile	FP	0
growth_temperature	species	Fold1	mesophile	FN	6
growth_temperature	species	Fold1	mesophile	TN	44
growth_temperature	species	Fold1	psychrophile	TP	11
growth_temperature	species	Fold1	psychrophile	FP	0
growth_temperature	species	Fold1	psychrophile	FN	12
growth_temperature	species	Fold1	psychrophile	TN	289
growth_temperature	species	Fold1	thermophile	TP	5
growth_temperature	species	Fold1	thermophile	FP	0
growth_temperature	species	Fold1	thermophile	FN	6
growth_temperature	species	Fold1	thermophile	TN	301
growth_temperature	species	Fold10	hyperthermophile	TP	6
growth_temperature	species	Fold10	hyperthermophile	FP	0
growth_temperature	species	Fold10	hyperthermophile	FN	3
growth_temperature	species	Fold10	hyperthermophile	TN	302
growth_temperature	species	Fold10	mesophile	TP	254
growth_temperature	species	Fold10	mesophile	FP	0
growth_temperature	species	Fold10	mesophile	FN	15
growth_temperature	species	Fold10	mesophile	TN	42
growth_temperature	species	Fold10	psychrophile	TP	14
growth_temperature	species	Fold10	psychrophile	FP	0
growth_temperature	species	Fold10	psychrophile	FN	13
growth_temperature	species	Fold10	psychrophile	TN	284
growth_temperature	species	Fold10	thermophile	TP	3
growth_temperature	species	Fold10	thermophile	FP	0
