Physiology	Rank	Attribute	meanSource	sdSource	meanTaxpool	sdTaxpool	meanInh1	sdInh1	meanAsr	sdAsr	meanInh2	sdInh2
motility	all	motility	1080	0	8452	7.363574011458174	41704.6	114.91175358122037	1447.8	2.780887148615228	23681.9	64.35051584011498
motility	strain	motility	1078.2	0.4216370213557839	8451.7	5.538752366533259	41700.2	116.56643313292783	1447.6	2.065591117977289	23683.7	57.704322965345405
