Physiology	Rank	Attribute	meanTP	sdTP	meanFP	sdFP	meanFN	sdFN	meanTN	sdTN	meanMCC	sdMCC
animal_pathogen	all	animal_pathogen	53.1	5.486346689738081	10.6	4.115013163202924	14.8	4.184627953726724	91	8.459051693633013	0.6870845099986223	0.05744736523383508
animal_pathogen	species	animal_pathogen	26.3	4.522781838156198	8.2	3.011090610836324	12.7	2.359378449224852	93.4	6.310485101972924	0.6172311182622159	0.06341012851093336
animal_pathogen	strain	animal_pathogen	25.8	1.5491933384829668	17.9	0.31622776601683794	3.1	1.449137674618944	11	0	0.32095044578338366	0.06808911151663566
