nodes	trait1
root	74.2353|76.6234
internal_node_4	56.0287|57.3535
n19795	50.5779|51.7552
200940+57723+533205	42.6833|43.9622
1239+186801+91061+1385+3039167+68295+186814+3039168+539003	48.4094|49.7301
internal_node_13	42.1496|43.42
internal_node_18	42.3589|43.3043
n19801	36.8899|37.9497
n19802	34.9888|35.976
n19803	31.3582|32.7117
internal_node_24	22.8609|24.4596
135618+1486721	27.431|28.854
1775403	26.7079|27.9744
135613+1046	26.3934|27.6292
72276	25.8967|27.2568
internal_node_33	27.5281|28.5722
internal_node_39	30.1339|30.9676
118969+72273+135617	28.198|29.1334
internal_node_43	25.1101|26.4055
135616	24.1931|25.1449
255527	25.672|26.5804
n19818	27.7662|28.9076
135622+28256+72275	25.6667|26.5689
135620	25.8091|26.9288
n19821	27.5384|28.9442
n19823	23.6935|25.1401
267888	25.4016|26.4324
n19825	23.8352|24.8355
135624+84642	28.5596|29.9477
n19827	30.4258|31.5673
n19828	33.1999|34.4141
91347+543	32.7639|33.8934
internal_node_60	30.6289|31.4054
1903409+1903410+1903412	28.7679|29.6047
n19833	27.1635|28.0797
n19834	27.5216|28.078
n19835	27.7982|28.4104
internal_node_73	31.5372|32.4293
internal_node_84	31.9828|32.6181
n19840	29.9137|30.6348
n19841	32.2971|33.1891
n19842	34.2361|34.9319
n19843	33.592|34.5649
internal_node_92	32.8777|33.7378
n19847	36.5524|37.4476
internal_node_137	36.8347|37.1653
n19864	36.7904|37.2096
n19865	36.842|37.158
n19878	31.0288|31.9272
n19902	36.5693|37.4307
n19904	35.0143|35.8968
internal_node_238	34.3277|34.9224
n19907	33.6457|34.3683
n19908	31.9903|32.57
n19909	36.6861|37.3139
n19912	36.8631|37.1369
n19913	35.1532|35.3595
n19921	28.4758|29.5416
n19928	29.2933|29.7787
n19930	34.4048|35.1306
n19931	28.8176|29.4652
n19952	28.8687|29.6626
n19960	29.566|30.434
n19972	28.4013|29.2097
n19984	33.6701|34.5047
n19985	34.7883|35.4049
n19986	33.1956|33.8519
n20031	29.029|30.0362
n20066	26.9272|27.0728
internal_node_621	26.3446|27.0161
n20071	27.0081|27.5987
n20072	27.3077|28.3706
n20074	27.7662|28.2188
internal_node_683	25.6483|26.4719
n20098	25.6666|26.6554
n20106	25.8159|26.5244
n20109	25.5216|26.4784
n20121	26.9106|27.6506
n20122	27.3852|28.0836
internal_node_745	28.4811|29.628
n20132	29.509|30.2958
n20137	28.6185|29.1154
n20139	29.2411|29.8073
n20140	28.5141|28.8842
n20142	29.4781|30.104
n20144	29.4349|29.9776
n20145	29.823|30.4527
n20148	31.2017|31.358
n20169	28.5037|29.0309
n20172	26.904|27.2486
n20178	26.0093|27.1501
n20180	26.4476|27.2815
n20190	30.7021|31.6617
1903414	32.2669|33.3444
n20192	34.5911|36.1139
internal_node_903	36.373|37.627
internal_node_909	36.5992|37.4008
internal_node_912	36.5851|37.4149
n20201	36.4953|37.5047
n20202	36.4828|37.5172
n20203	36.4654|37.5346
n20204	36.4099|37.5901
n20207	36.5253|37.4747
n20209	36.5551|37.4449
n20236	36.2602|37.7398
n20252	36.5275|37.4725
n20254	36.451|37.549
n20265	36.5154|37.4846
n20271	36.5236|37.4764
n20275	36.6933|37.3067
n20291	36.6031|37.3969
n20321	34.1822|35.5191
n20329	27.3067|28.6933
internal_node_1356	36.6741|37.3259
n20381	36.7155|37.2845
internal_node_1381	29.7569|30.1057
n20391	35.0499|35.6483
n20392	31.745|32.1853
internal_node_1414	29.7091|29.9735
n20403	28.7784|29.2168
n20416	32.5678|33.6754
n20423	33.9764|35.1889
internal_node_1490	34.991|35.4864
n20425	33.3945|33.8594
n20427	35.0979|35.7136
n20452	28.566|29.0635
n20454	27.6333|27.8163
n20455	29.9562|30.0438
internal_node_1570	25.2349|26.9844
83763	36.6628|38.3522
internal_node_1578	37.1931|38.715
135623+641	25.45|26.5046
n20478	25.0505|26.1361
n20479	26.8672|27.7139
n20480	26.4395|27.4077
n20481	27.1955|28.18
n20483	26.267|27.6144
n20488	26.6984|27.4243
n20489	25.3944|26.8484
n20490	26.3469|27.133
n20494	27.568|28.1331
n20495	27.1118|27.7661
n20504	25.695|26.2398
n20506	27.6146|28.3854
n20513	24.6848|25.8258
n20518	25.204|26.439
n20532	19.5477|20.4523
n20549	27.7375|28.4485
n20551	28.0328|28.3359
n20552	28.5255|28.9666
n20554	29.1276|29.5397
n20555	28.1754|28.7682
n20562	27.8505|28.1495
n20564	27.8832|28.1168
n20584	26.1896|27.3881
n20612	27.7157|28.5042
n20620	24.79|25.253
internal_node_1925	19.6298|20.6162
n20638	25.7534|27.0837
n20640	25.8971|27.2874
n20650	25.0521|25.6541
n20663	26.4359|27.4677
267890	19.1558|20.2173
internal_node_2129	22.3813|23.3375
n20719	18.2134|19.0375
n20720	16.7878|17.7136
n20722	17.2654|18.4289
n20723	15.3689|16.4352
n20724	5.2267|6.3644
n20759	16.0804|16.9232
n20762	20.9916|21.6304
n20767	5.889|6.5202
n20768	7.8196|8.4338
n20772	20.3959|21.1489
n20778	27.6271|28.572
n20779	33.5138|34.2177
n20780	33.6312|34.3611
n20782	35.6542|36.4482
n20794	13.1289|14.479
n20826	16.9313|18.2717
267894	18.1202|19.4886
n20828	22.2593|23.7239
n20830	20.3923|21.5534
n20831	12.6922|14.0391
n20864	9.621|10.379
n20866	9.6946|10.3054
n20867	9.6864|10.3136
n20871	9.6611|10.3389
n20872	9.6268|10.3732
n20880	19.6454|20.7629
n20883	9.8763|11.273
n20937	26.392|27.393
n20938	26.4386|27.7239
n20944	27.4611|28.2296
n20946	25.4933|26.2293
n20947	25.644|25.9121
n20950	24.2807|24.7526
n20952	21.3079|21.9893
n20973	26.3163|26.9727
n20974	25.6777|26.3563
n20976	25.7151|26.3573
n20979	27.9412|28.0588
n20990	7.5736|8.5748
internal_node_2757	14.1463|14.7758
n21014	27.8348|29.4452
n21017	30.2179|31.2401
n21019	31.4125|32.3122
n21047	27.7895|28.2105
n21048	27.7014|28.2986
internal_node_2898	18.7007|19.9691
n21068	18.4443|19.7952
internal_node_2910	30.154|31.3216
n21087	29.6513|30.3487
n21111	19.1272|20.4059
n21113	23.8661|24.5313
n21115	23.2536|23.8798
n21116	21.751|22.4306
n21131	30.377|32.1484
internal_node_3071	29.5597|30.5847
n21136	27.6748|28.5675
n21137	25.3906|26.6379
n21140	28.2991|29.6175
n21147	27.4511|28.5489
n21168	27.6583|28.3417
n21169	27.5944|28.4056
n21200	29.1339|30.3647
n21205	32.5911|33.4947
n21245	22.2802|23.9931
n21306	23.7632|25.3908
internal_node_3450	23.8758|24.9125
n21309	23.123|24.2335
n21310	23.4363|25.072
n21350	23.2989|24.5235
n21362	22.2079|23.5256
n21363	27.4438|28.5562
n21366	22.8134|24.006
n21397	24.7638|26.2575
n21440	25.2964|26.3617
n21441	27.2488|28.4106
n21442	28.4509|29.7554
internal_node_3784	28.8636|30.0176
internal_node_3790	32.3345|33.0797
n21449	29.7551|30.7053
n21451	27.8221|28.7814
n21457	26.2754|27.0035
n21458	22.9551|23.7568
n21460	26.0929|26.8876
n21462	26.3692|27.1463
n21472	28.7035|29.0786
n21474	25.2782|25.8535
n21484	25.999|26.1828
n21527	25.9569|26.073
n21528	25.8453|26.4175
n21560	18.9814|19.2586
n21565	31.6401|32.469
n21632	28.2616|28.8809
n21634	27.7891|28.3214
n21635	27.9788|28.1522
n21637	29.0161|29.5482
n21638	26.8954|27.4814
n21652	29.3239|29.7056
n21682	33.3761|34.2878
n21705	34.8917|35.7648
n21710	32.0537|32.9387
n21711	33.1285|34.008
n21712	30.163|31.1642
n21727	31.1726|31.8463
n21763	36.4684|37.5316
224379+2898533	28.3194|29.6182
n21806	29.4639|30.6617
n21807	32.9929|34.3202
n21812	35.616|36.7412
n21821	33.4611|34.0625
n21823	27.6642|28.3358
n21875	25.0739|26.5208
internal_node_4683	23.1246|24.1434
n21900	24.09|25.3074
1706375	22.5186|23.5952
internal_node_4754	20.3202|21.4945
n21904	27.1937|28.8063
n21924	13.7765|15.248
n21950	24.4494|25.7126
internal_node_4894	27.3604|28.6396
n21972	22.7666|24.2182
n21977	27.5082|28.4918
n21987	28.3177|29.3667
internal_node_5071	22.2512|23.3458
internal_node_5075	27.4822|28.5178
n22031	16.247|17.1628
n22034	25.6036|26.3118
n22039	31.4052|33.0394
n22042	33.26|35.0559
n22045	32.9031|34.1347
n22046	31.57|32.5828
n22114	34.6483|35.2811
n22115	36.6545|37.3455
n22141	29.7409|30.2591
n22144	22.5447|23.8878
n22145	21.4352|22.9115
n22152	16.1361|17.323
n22153	16.71|17.8032
n22154	9.1777|10.5392
n22159	-0.4191|0.4191
internal_node_5421	19.0633|20.163
n22185	14.8456|15.5873
n22202	24.5755|26.2537
n22205	30.5534|31.9853
n22208	20.159|21.2999
internal_node_5544	26.2759|27.6981
n22233	21.7584|23.4659
n22241	23.6547|25.3063
internal_node_5649	23.2985|24.4374
n22244	24.4555|25.5445
n22251	22.1489|23.5384
internal_node_5669	24.9723|25.0277
internal_node_5676	20.2387|20.425
n22259	20.2374|21.7404
n22262	20.9102|21.9469
n22263	24.5691|25.5982
n22264	25.1376|25.9954
n22265	28.5204|29.725
internal_node_5705	29.7309|30.2691
internal_node_5728	22.5308|23.3255
n22279	27.6078|28.3922
n22284	23.8006|24.7558
n22285	19.7254|20.9207
n22292	8.6277|10.0698
internal_node_5794	19.3083|20.6917
2887326+468	30.9348|32.4142
internal_node_5820	29.3166|30.256
n22309	29.2448|30.1614
n22311	29.0406|30.1899
n22312	28.9147|29.9712
n22315	28.6566|29.4827
n22316	28.664|29.2858
n22317	28.9326|29.7485
n22318	28.8437|29.5319
n22319	28.4237|29.4799
n22330	28.9444|29.538
n22332	28.7442|29.3217
n22333	29.6888|30.3112
n22336	29.0889|29.9687
n22355	27.9123|28.8187
n22357	28.665|29.8195
n22365	28.5452|29.2243
n22379	29.278|30.2104
n22381	28.7921|29.4786
internal_node_6025	33.4995|34.8277
n22399	31.9739|33.4269
n22401	27.0188|28.0806
n22407	21.7622|22.2378
n22444	36.326|37.674
n22465	33.2165|34.6661
n22466	27.2571|29.3686
568386	27.8565|29.1195
n22469	27.2672|28.7328
n22474	27.6637|28.3363
n22482	28.4062|29.4656
n22484	27.6069|28.3931
135615+255526	36.9974|38.7764
n22519	39.2529|40.8452
868	35.9517|37.2299
internal_node_6342	35.9824|36.9201
n22526	34.5303|35.7732
n22527	31.9771|33.6714
n22528	36.69|37.8766
206389+2008794+75787	28.5499|29.5493
n22530	29.062|30.3834
n22531	29.7297|30.7983
32003	27.9229|29.0346
n22533	28.7353|29.722
internal_node_6365	30.3608|31.3282
n22537	31.6764|32.5023
n22538	33.2028|34.1673
n22539	32.1407|33.4001
80864	30.1414|31.1808
n22545	28.4156|29.3543
n22546	26.801|28.025
n22548	24.8592|25.7471
n22550	21.4939|22.5537
n22553	19.8866|20.5924
internal_node_6391	25.9864|27.0381
n22558	28.2619|29.4606
n22564	31.0586|31.9101
n22565	32.6274|33.8432
n22618	18.2922|18.9065
internal_node_6587	27.7659|29.0411
n22633	27.435|28.1348
n22635	25.5934|26.6454
n22636	25.1389|26.0004
n22637	22.7131|23.6991
n22640	21.25|21.8598
n22642	24.1654|24.8133
internal_node_6623	25.7104|26.447
internal_node_6667	28.5795|29.4535
internal_node_6842	31.0918|32.0735
n22763	24.9079|25.0921
internal_node_6960	34.1663|35.4581
n22815	36.2103|37.7897
n22822	33.9334|35.2021
internal_node_7075	32.9066|34.0165
internal_node_7081	31.0639|32.1371
n22830	27.2083|28.2361
n22835	23.9124|24.7734
n22837	27.5922|28.8995
n22844	28.0357|29.1073
n22845	27.4768|28.5232
internal_node_7290	22.2329|22.7096
n22943	29.2435|29.4232
n23004	35.0359|36.1995
n23006	34.2696|35.1807
internal_node_7484	36.3125|37.6875
n23011	36.6213|37.3787
n23033	36.7697|37.2303
n23034	36.7051|37.2949
n23037	36.8715|37.1285
n23042	36.7991|37.2009
internal_node_7699	32.6623|34.0344
n23095	32.1768|33.1773
n23097	28.7059|29.1368
n23110	29.1298|30.3553
n23112	30.6754|31.9494
n23116	26.5809|27.3631
n23120	26.6969|27.6844
n23123	26.0297|26.8695
n23124	25.1458|26.0265
n23127	27.6586|28.365
n23128	29.6582|30.3418
n23170	19.805|20.5443
n23173	27.258|28.2714
n23176	24.8149|25.5475
n23179	28.3807|29.1916
n23193	22.4641|22.9825
n23253	26.545|27.1795
