nodes	trait1
root	76.0057913511099
internal_node_4	60.3648856950359
n19795	51.0519587835616
200940+57723+533205	43.5216626193191
1239+186801+91061+1385+3039167+68295+186814+3039168+539003	49.5915550391766
internal_node_13	43.4450458354999
internal_node_18	43.6348614554301
n19801	37.8525182073498
n19802	35.9084959514468
n19803	32.5178625688896
internal_node_24	24.2681716175592
135618+1486721	29.2347264831308
1775403	28.9108806370902
135613+1046	26.7461951138523
72276	26.2160109082664
internal_node_33	27.6674966787931
n19812	29.7022519594509
internal_node_39	29.6348836881941
118969+72273+135617	28.9938422884342
internal_node_43	26.3377203736932
135616	25.3657795194043
255527	26.7598741326694
n19818	28.0598817129709
135622+28256+72275	25.6903202365294
135620	25.5454741498715
n19821	27.9650917436803
n19823	23.9935799610086
267888	26.0864102797979
n19825	24.6302036463607
135624+84642	28.6520848551035
n19827	30.1087965526579
n19828	32.0250698854683
91347+543	32.3753470707912
internal_node_60	29.0520353075178
1903409+1903410+1903412	29.4758390938402
n19833	27.8825155665526
n19834	28.5814945483155
internal_node_73	31.2052690467222
internal_node_84	31.5725309154434
n19840	30.2196750870164
n19841	32.4505119766455
n19842	34.855691976487
n19843	34.5499690010681
internal_node_92	34.0133114539008
n19845	36.749471211861
n19847	36.3077896709302
internal_node_137	35.3008357539903
n19864	37
n19865	37
n19866	37
n19867	37
n19878	31.9462801334068
n19880	37
n19884	37
n19902	37
n19904	35.4562239815118
internal_node_238	34.6261606994507
n19907	34.0093026820074
n19908	32.2843924715886
n19909	37
n19911	37
n19912	37
n19913	35.2563176895307
internal_node_283	28.3759886437564
n19921	28.3148185512594
n19928	28.1206994272953
n19931	29.1413919413919
n19952	29.2656831073747
n19960	30
n19972	28.8055490242182
n19984	32.7039431254922
n19985	33.3175031692173
n19986	33.5237245808063
internal_node_473	33.1457286432161
n20031	29.5325658891245
n20047	30
internal_node_621	26.2030321511358
n20071	26.3764212052684
n20072	26.7831506058858
n20089	26
internal_node_683	26.0601159032427
n20098	26.1610091154964
n20106	26.1701867156413
n20109	26
n20121	26.8545217302388
n20122	27.5378821468573
