nodes	trait1
root	74.8205|77.1911
internal_node_4	59.8071|60.9227
n19795	50.4593|51.6447
200940+57723+533205	42.8857|44.1577
1239+186801+91061+1385+3039167+68295+186814+3039168+539003	48.928|50.2551
internal_node_13	42.8098|44.0803
internal_node_18	43.1653|44.1044
n19801	37.3222|38.3829
n19802	35.4128|36.4042
n19803	31.8302|33.2055
internal_node_24	23.4695|25.0669
135618+1486721	28.5253|29.9442
1775403	28.2928|29.529
135613+1046	26.1319|27.3605
72276	25.5385|26.8935
internal_node_33	27.1597|28.1753
n19812	29.0353|30.3692
internal_node_39	29.1887|30.0811
118969+72273+135617	28.5282|29.4595
internal_node_43	25.6903|26.9851
135616	24.8906|25.841
255527	26.308|27.2118
n19818	27.488|28.6318
135622+28256+72275	25.2396|26.141
135620	24.9869|26.104
n19821	27.263|28.6672
n19823	23.2747|24.7124
267888	25.5744|26.5984
n19825	24.1466|25.1138
135624+84642	27.9637|29.3404
n19827	29.5542|30.6634
n19828	31.4998|32.5504
91347+543	31.7982|32.9525
internal_node_60	28.5496|29.5544
1903409+1903410+1903412	29.0481|29.9036
n19833	27.405|28.3601
n19834	28.2161|28.9469
internal_node_73	30.868|31.5425
internal_node_84	31.2598|31.8853
n19840	29.8649|30.5744
n19841	32.0372|32.8638
n19842	34.5157|35.1956
n19843	34.0722|35.0277
internal_node_92	33.6486|34.378
n19845	36.4041|37.0949
n19847	35.8559|36.7597
internal_node_137	35.0625|35.5392
n19864	36.7981|37.2019
n19865	36.8901|37.1099
n19866	36.8539|37.1461
n19867	36.8444|37.1556
n19878	31.5246|32.368
n19880	36.7852|37.2148
n19884	36.8813|37.1187
n19902	36.5693|37.4307
n19904	35.015|35.8975
internal_node_238	34.3288|34.9235
n19907	33.648|34.3706
n19908	31.9947|32.5741
n19909	36.69|37.31
n19911	36.9435|37.0565
n19912	36.8631|37.1369
n19913	35.1532|35.3595
internal_node_283	27.8857|28.8662
n19921	27.7804|28.8493
n19928	27.7651|28.4763
n19931	28.8176|29.4652
n19952	28.8687|29.6626
n19960	29.566|30.434
n19972	28.4013|29.2097
n19984	32.2915|33.1164
n19985	33.0367|33.5983
n19986	33.1956|33.8519
internal_node_473	32.9144|33.3771
n20031	29.029|30.0362
n20047	29.4741|30.5259
internal_node_621	25.8502|26.5558
n20071	26.0313|26.7216
n20072	26.2062|27.3601
n20089	25.7569|26.2431
internal_node_683	25.6483|26.4719
n20098	25.6666|26.6554
n20106	25.8159|26.5244
n20109	25.5216|26.4784
n20121	26.5021|27.2069
n20122	27.1808|27.8949
internal_node_745	27.9444|29.109
n20132	29.5177|30.3042
n20137	28.7187|29.214
n20139	29.4099|29.9655
n20140	29.0299|29.3254
n20141	29.739|30.1069
n20142	29.4916|30.1174
n20144	29.4538|29.9965
n20145	29.8467|30.4764
n20172	26.904|27.2486
n20178	25.4316|26.5238
n20179	25.5435|26.3956
n20190	30.8486|31.8114
1903414	32.6107|33.6983
n20192	35.0489|36.5837
internal_node_903	36.373|37.627
internal_node_909	36.5992|37.4008
internal_node_912	36.5851|37.4149
n20201	36.4953|37.5047
n20202	36.4828|37.5172
n20203	36.4654|37.5346
n20204	36.4099|37.5901
n20207	36.5253|37.4747
n20209	36.5551|37.4449
n20236	36.2602|37.7398
n20252	36.5275|37.4725
n20254	36.451|37.549
n20265	36.5154|37.4846
n20271	36.5236|37.4764
n20275	36.6933|37.3067
n20291	36.6031|37.3969
n20321	34.6386|36.2239
internal_node_1356	36.624|37.376
internal_node_1381	30.0831|30.4397
n20391	36.6765|37.3235
internal_node_1414	29.7091|29.9735
n20403	28.7784|29.2168
n20422	31.0491|32.3695
n20423	34.4343|35.642
internal_node_1490	35.4644|35.9659
n20425	34.2405|34.718
n20452	28.566|29.0635
n20454	27.6333|27.8163
n20455	29.9562|30.0438
internal_node_1570	25.659|27.3568
83763	37.2745|38.7648
internal_node_1578	37.1931|38.715
n20471	37.3148|38.8116
135623+641	25.5284|26.5838
n20478	25.1055|26.1895
n20479	26.92|27.7622
n20480	26.5306|27.4913
n20481	27.2999|28.2321
n20483	26.6611|27.8511
n20488	26.6979|27.4238
n20489	25.3944|26.8484
n20490	26.3469|27.133
n20494	27.568|28.1331
n20495	27.1118|27.7661
n20504	25.695|26.2398
n20506	27.6146|28.3854
n20513	24.6848|25.8258
n20518	25.204|26.439
n20532	19.5477|20.4523
n20549	27.7365|28.4474
n20551	28.0308|28.3338
n20552	28.5255|28.9666
n20554	29.1276|29.5397
n20555	28.1754|28.7682
n20562	27.8505|28.1495
n20564	27.8809|28.1137
n20565	27.6164|28.1907
n20582	26.7838|28.026
n20584	26.1896|27.3881
n20612	27.7157|28.5042
n20620	24.79|25.253
internal_node_1925	19.6298|20.6162
n20638	25.8638|27.1967
n20640	26.0314|27.4752
n20663	26.4359|27.4677
267890	20.5746|21.5215
n20717	23.6278|24.9244
internal_node_2129	21.6501|22.6063
n20719	16.8903|17.7146
n20720	14.6157|15.5421
n20722	17.2654|18.4289
n20723	15.3689|16.4352
n20724	5.2267|6.3644
n20759	11.1698|12.0201
n20762	14.7194|15.3576
n20763	17.4723|17.5277
n20767	3.6641|4.3359
n20772	20.3959|21.1489
n20778	27.6271|28.572
n20779	33.5138|34.2177
n20780	33.6312|34.3611
n20782	35.6542|36.4482
n20794	13.1289|14.479
n20826	17.2477|18.5843
267894	18.538|19.887
n20828	21.557|22.972
n20830	18.6841|19.8605
n20831	9.4158|10.8987
n20864	9.6163|10.3837
n20866	9.6656|10.3344
n20867	9.6864|10.3136
n20871	9.6611|10.3389
n20883	9.8763|11.273
n20936	26.7464|27.8235
n20937	26.364|27.3651
n20938	26.3894|27.6748
n20944	27.3646|28.1585
n20946	24.0991|24.8649
n20949	23.6785|24.136
n20950	24.5421|24.9869
n20952	23.3065|23.7916
n20953	24.9813|25.7211
n20973	26.3163|26.9727
n20974	25.6777|26.3563
n20976	25.7151|26.3573
n20979	27.9412|28.0588
n20990	10.9486|11.8845
n20991	14.7788|15.4731
internal_node_2757	14.1463|14.7758
n21014	27.9112|29.5265
n21017	30.3683|31.4969
n21019	31.4125|32.3122
internal_node_2898	16.2902|17.4952
n21068	18.4443|19.7952
internal_node_2910	30.154|31.3216
n21087	29.6513|30.3487
n21110	12.5517|13.6042
n21111	19.1272|20.4059
n21113	23.8661|24.5313
n21115	23.2536|23.8798
n21116	21.751|22.4306
n21131	30.2316|32.0031
internal_node_3071	29.3671|30.3925
n21136	27.4206|28.3153
n21137	24.8311|26.084
n21140	27.2067|28.5435
n21147	27.5492|28.6471
n21168	27.7817|28.4646
n21169	27.9757|28.7861
n21171	28.2239|28.83
n21200	27.0336|28.3255
n21245	22.2802|23.9931
n21306	22.4331|24.0576
internal_node_3450	21.9843|23.0081
n21309	20.1426|21.2283
n21310	23.4363|25.072
n21350	23.2989|24.5235
n21362	22.2079|23.5256
n21363	27.4438|28.5562
n21366	18.7093|19.7954
n21370	12.4711|13.603
n21397	24.7638|26.2575
n21440	25.3249|26.39
n21441	27.2978|28.4538
n21442	28.2489|29.5551
internal_node_3784	29.0245|30.1789
internal_node_3790	32.6184|33.3668
n21449	29.9544|30.8997
n21451	28.2683|29.0469
n21454	28.5972|29.3722
n21457	26.0961|26.785
n21458	23.4424|24.2689
n21460	27.4475|28.3111
n21462	28.9507|29.9103
n21472	28.7035|29.0786
n21474	25.2782|25.8535
n21484	25.999|26.1828
n21560	18.9814|19.2586
n21565	29.3121|29.9351
n21567	25.6721|26.2431
n21632	28.26|28.8794
n21634	27.787|28.3193
n21635	27.9751|28.151
n21637	28.9508|29.5866
n21652	29.3239|29.7056
n21682	33.3761|34.2878
n21705	35.378|36.2906
n21711	33.1285|34.008
n21712	30.163|31.1642
n21727	31.1726|31.8463
n21763	36.4684|37.5316
224379+2898533	27.97|29.2718
n21806	28.9959|30.2115
n21807	33.0738|34.3942
n21812	35.7357|36.7531
n21815	34.1022|35.027
n21817	35.6204|36.293
n21821	33.7424|34.3734
n21875	23.579|25.0981
n21900	24.8342|25.9805
1706375	22.5305|23.6062
internal_node_4754	20.3202|21.4945
n21904	27.1937|28.8063
n21924	13.7765|15.248
n21950	24.4677|25.7249
internal_node_4894	27.4185|28.5815
n21962	27.575|28.425
n21972	22.7666|24.2182
n21977	27.5082|28.4918
internal_node_5001	29.8337|30.9366
n21987	28.3177|29.3667
internal_node_5071	22.2512|23.3458
internal_node_5075	27.4822|28.5178
n22031	16.247|17.1628
n22034	25.6036|26.3118
n22039	31.4207|33.0632
n22042	33.26|35.0559
n22045	32.9031|34.1347
n22046	31.57|32.5828
n22114	34.6483|35.2811
n22115	36.6545|37.3455
n22144	24.4179|25.7501
n22145	24.8588|26.2693
n22148	24.7296|26.2779
n22152	16.1361|17.323
n22153	16.71|17.8032
n22154	9.1777|10.5392
n22159	-0.4191|0.4191
internal_node_5421	19.0633|20.163
n22185	14.8456|15.5873
n22202	24.7684|26.443
n22205	31.1138|32.528
n22208	21.8175|22.873
internal_node_5544	27.5891|28.718
n22217	29.4584|30.5416
n22233	21.7584|23.4659
n22241	23.6547|25.3063
internal_node_5649	23.2985|24.4374
n22244	24.4555|25.5445
n22251	22.1489|23.5384
internal_node_5669	24.9723|25.0277
internal_node_5676	20.2387|20.425
n22259	21.0811|22.5831
n22262	22.126|23.1604
n22263	26.0683|27.1057
n22264	25.4491|26.2353
n22265	28.1387|29.2129
internal_node_5701	28.4347|29.4803
internal_node_5705	29.7309|30.2691
internal_node_5728	22.5308|23.3255
n22279	27.6078|28.3922
n22284	27.4665|28.5335
n22287	27.8525|28.1475
n22292	8.6277|10.0698
internal_node_5794	19.3083|20.6917
2887326+468	30.8963|32.3752
internal_node_5820	29.2517|30.1898
n22309	29.1614|30.065
n22311	28.7804|29.9087
n22312	28.586|29.5846
n22314	28.2218|29.0489
n22315	28.6803|29.5081
n22316	28.6982|29.3257
n22317	28.9697|29.8685
n22318	28.9615|29.6546
n22319	28.4237|29.4799
n22330	29.0805|29.7093
n22332	28.7442|29.3217
n22333	29.6888|30.3112
n22355	27.9123|28.8187
n22357	28.665|29.8195
n22365	28.5452|29.2243
n22379	29.278|30.2104
n22381	28.7921|29.4786
internal_node_6025	33.4995|34.8277
n22399	31.9739|33.4269
n22401	27.0188|28.0806
n22407	21.7622|22.2378
n22444	36.326|37.674
n22465	33.0407|34.4832
n22466	27.4649|29.5761
568386	28.181|29.4426
n22469	27.946|29.4082
n22474	28.7971|29.4463
n22475	29.8172|30.001
n22482	28.4062|29.4656
n22484	27.6069|28.3931
135615+255526	36.5177|38.1859
3018589	28.3916|29.6626
n22519	39.2529|40.8452
868	35.9517|37.2299
internal_node_6342	35.9824|36.9201
n22526	30.8323|32.2403
n22527	31.8365|33.532
n22528	36.5901|37.7788
206389+2008794+75787	28.3055|29.3173
n22530	28.5595|29.8779
n22531	29.0746|30.1143
32003	27.847|28.9616
n22533	28.6361|29.6515
internal_node_6365	30.0561|31.0337
n22537	31.46|32.3293
n22538	33.5467|34.5138
n22539	32.145|33.4043
80864	30.1478|31.1872
n22545	28.4341|29.3729
n22546	26.8438|28.0679
n22548	24.9356|25.8243
n22550	21.4221|22.4843
n22553	19.7078|20.5165
internal_node_6396	27.6453|28.719
n22558	27.733|28.9573
n22564	28.9035|30.0104
n22618	18.2922|18.9065
internal_node_6587	27.9461|29.2202
n22633	27.6916|28.3836
n22635	25.6566|26.6693
n22636	25.1389|26.0004
n22637	22.7131|23.6991
n22640	21.25|21.8598
n22642	24.1654|24.8133
internal_node_6623	25.7104|26.447
n22662	27.7741|28.2259
internal_node_6667	29.0069|29.8006
n22670	27.2811|27.7205
internal_node_6842	31.0918|32.0735
n22763	24.9079|25.0921
internal_node_6960	34.1663|35.4581
n22815	36.2103|37.7897
n22822	34.6172|35.8935
internal_node_7075	32.9066|34.0165
internal_node_7081	31.0639|32.1371
n22830	27.2083|28.2361
n22835	23.9124|24.7734
n22837	27.5922|28.8995
n22844	28.0357|29.1073
n22845	27.4768|28.5232
internal_node_7290	22.2329|22.7096
n22943	29.2435|29.4232
n23004	36.4066|37.5934
n23006	36.4997|37.5003
internal_node_7484	36.3096|37.6904
n23011	36.6045|37.3955
n23014	36.7906|37.2094
n23034	36.7051|37.2949
n23037	36.8715|37.1285
internal_node_7699	36.2958|37.7042
internal_node_7727	36.5893|37.4107
n23110	27.5423|28.8843
n23116	28.191|28.9661
n23120	26.6872|27.6747
n23123	26.011|26.8508
n23124	25.1166|25.9974
n23127	27.6586|28.365
n23128	29.6582|30.3418
n23170	19.7071|20.4484
n23173	26.9831|28.0033
n23176	24.1225|24.9215
n23193	22.4641|22.9825
n23253	28.9312|29.5547
n23256	38.2381|38.8816
n23259	41.6903|42.342
n23262	28.5097|29.0206
n23274	61.3998|61.9948
n23275	29.7483|30.2037
n23278	33.2675|33.644
n23280	36.7869|37.2131
n23284	27.9099|28.3635
n23320	27.2965|28.5362
n23321	28.1634|29.1372
n23323	28.4465|29.1951
n23324	26.9115|27.5606
n23325	26.2255|26.7801
n23326	26.5479|27.0676
n23329	26.0362|26.4237
n23330	24.9674|25.4657
internal_node_8238	28.0054|28.9023
n23354	26.2055|26.554
n23387	29.1315|30.362
n23389	30.3224|31.4581
2897177	28.3531|29.8172
1499392	29.2021|30.3205
n23395	30.0913|31.3763
n23398	36.4165|37.474
n23402	36.6198|37.2419
n23403	36.5285|37.2712
n23406	36.2983|36.963
n23408	35.9888|36.5784
n23409	35.0272|35.639
n23412	34.0912|34.7575
n23413	35.5812|36.4919
n23414	35.9137|36.1758
n23417	32.9988|33.4486
n23419	36.5388|37.0451
internal_node_8408	36.5173|37.4136
n23426	36.3798|37.4234
n23427	36.5006|37.2335
n23428	36.2177|37.1751
n23437	36.5318|37.4682
n23534	27.0557|27.7346
n23538	24.4606|25.8577
n23540	21.7605|23.5032
n23588	25.5538|26.9559
n23595	30.9709|31.9493
n23596	25.9947|27.1445
internal_node_8921	27.5457|28.4543
n23626	27.8826|28.762
internal_node_8994	29.4971|30.286
n23631	29.3865|30.0394
n23634	29.8946|30.1054
n23638	29.1693|29.5834
internal_node_9033	26.7656|27.6326
n23669	26.4421|28.1136
